etat,marque,annee,boite_vitesse,adresse,prix,image_link-src
Venant,Ford,2016,Automatique,Mbour,5000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f8614243552fe428abb9a7f1bd709c3/-/horizon-files-prod/ed/picture/qzvp280k/e08e69a136752da4d31028219ce872d44ab63c20.jpg
D'occasion,Ford,2021,Non spécifié,Almadies,27000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f8ac8c9dcbe4d74c9fed2e9e42cfe76/-/horizon-files-prod/ed/picture/qgqwq9xm/9a97b82571ea1266b9b16d88104d9e58d0d7d975.jpg
D'occasion,Mini,2013,Automatique,Point-e,4900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e5319ca2f10d2c9b7abaf68a82b97bda/-/horizon-files-prod/ed/picture/qv4wmnpw/1e80b53ff0e4b5d9b496708993240826cfd0fb5e.jpg
Venant,Ford,2017,Automatique,VDN,15500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/48ab56ff8b35b8402db34e8a49195a9a/-/horizon-files-prod/ed/picture/qwepekzk/065a67bfcb1afe5295d05a6f746f774b3cc36b8f.jpg
D'occasion,Kia,2022,Automatique,Hann Bel-Air,20500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/550fce79c8403c803a47f04413b6d868/-/horizon-files-prod/ed/picture/q9mjmgg6/5cdeb589984c61a7d7b144053d8c8f587ada71db.png
Neuf,Nissan,2017,Automatique,Liberte 6,5800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7dea0dd1803b6ba1eeeb22c90989f65/-/horizon-files-prod/ed/picture/q2jqmg5p/18949c190866f19bf66c8499e8bfb51b9372b1af.jpg
D'occasion,Mitsubishi,2022,Automatique,Hann Bel-Air,29900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f52357ede5aea7274e7f5650ef9f9f9/-/horizon-files-prod/ed/picture/qgqwggpm/d6b93847a11c5f5f38cd880f53ad42f0450930d4.png
D'occasion,Mitsubishi,2022,Manuelle,Hann Bel-Air,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/467c8aada570e44e9a9f78df12bf5210/-/horizon-files-prod/ed/picture/q78w77pq/6be29616159d568e7047eb1e3495fc120e84761b.png
D'occasion,Mitsubishi,2012,Manuelle,Hann maristes,6200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/37d628aa427b6295ee25a02accccaf0d/-/horizon-files-prod/ed/picture/q6xk40gv/7207c2219d4e653f7925a7bd1dd37e22b10171a5.jpg
D'occasion,Kia,2019,Automatique,Hann Bel-Air,18500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5389159557305aa8812aab70ff8e4f1/-/horizon-files-prod/ed/picture/qq42q58n/c76f380d9d4f1a849e5a540577fe2fda588ed17d.png
D'occasion,Ford,2014,Non spécifié,Almadies,3800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/44c5dfc6f8bc7abbe0fa17a1bb2e65ef/-/horizon-files-prod/ed/picture/qdek86z4/86a2ee0ab043b80b86024674b94823200c2e578d.jpg
Venant,Citroen,2019,Automatique,Mbour,16000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f66c714e5c2976025509fe658439dc2d/-/horizon-files-prod/ed/picture/qngpdr9g/c1bc8c6695489874851a307e0ee07476c39f1bd8.jpg
Venant,Hyundai,2017,Non spécifié,Nord foire,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8d8a4b0dcd0ce6c1487feadb446014d/-/horizon-files-prod/ed/picture/q6xdk767/766f7e6431163ac0c8bc1ace724f7b96a5767238.jpg
Venant,Jeep,2017,Automatique,Nord foire,9000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9e039685fc46f9e539e5764fbc908b95/-/horizon-files-prod/ed/picture/qde7r552/4e837a68b43be9663ce2117e1c6d88c4efc5d00c.jpg
Venant,Renault,2016,Automatique,Parcelles Assainies,11300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8667954cc9890799c577f8a69d805f7/-/horizon-files-prod/ed/picture/q78w592g/a216b30e5bf5339fc678ad67fdf46c840322aa3c.jpg
Venant,Hyundai,2016,Automatique,Parcelles Assainies,10800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/19af0c3f9039099befb7d2084f90bdf5/-/horizon-files-prod/ed/picture/qrz8v599/857baeeef0c7a804314e062a0cd5511f86e1d4c1.jpg
Venant,Peugeot,2020,Automatique,Plateau,12900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2421b23e959eeaed95a7e43974d92238/-/horizon-files-prod/ed/picture/q0gwmv2e/834d589dd3464b2e18e2fb78b3932ad060134880.jpg
D'occasion,Chevrolet,2015,Automatique,Pikine,3700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/441f9c3e118b925b3d4ee2e76da9da9e/-/horizon-files-prod/ed/picture/qm5gp42q/e0faa899aa893beec5797885c2d36cc0a19a0d7e.jpg
D'occasion,Citroen,2009,Manuelle,Amitié,2600000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7e7c8cb19a5ab22c7293189aa5e02a4/-/horizon-files-prod/ed/picture/qrz8v4jm/d912a232ba89e58905188c34fe23d1b90f63ec24.jpg
Venant,Hyundai,2017,Automatique,Plateau,6000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42ebfe9cdc1f14341e871e9b697da11d/-/horizon-files-prod/ed/picture/q2j0q47k/d4f224b094c2d42f34d444537d5fd42849ae9f4d.jpg
Venant,Mercedes-Benz,2016,Automatique,Point-e,14500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ae25a1516c94446dd71a4ae79b657c5a/-/horizon-files-prod/ed/picture/q9mjjmg7/f55301637ebf0b14a7a5ed882b175acc560f124a.jpg
Venant,Ford,2017,Automatique,Nord foire,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a6826e9e1d893927f4e4a088b700763/-/horizon-files-prod/ed/picture/qrz88z5q/4ef1d9b56dd84f2513eaa97c4d71168131d284b9.jpg
Venant,Mitsubishi,2017,Automatique,Plateau,9500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1222dc6d654b6082d90217311f40fa07/-/horizon-files-prod/ed/picture/qrz8q85q/801ac1f51ca295bfe06b4134dac53be97e6df847.jpg
D'occasion,Mitsubishi,2008,Manuelle,Liberte 4,3990000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c14f5552e3be9490f4f2e8830a3db1c/-/horizon-files-prod/ed/picture/qm5p8k8w/ba6937c01a0e83e88a37f0c9cc7e245de39601c3.jpg
Venant,BMW,2021,Automatique,Sacré-cœur,40500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0eb5ad566dc8f26073053c6309a650c6/-/horizon-files-prod/ed/picture/qm5ggdjq/6cce29ff18260190face461d5c70faf4c8230bad.jpg
D'occasion,Dodge,2020,Automatique,Mermoz,17500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c95332f08a5202845c0f30d417936a8/-/horizon-files-prod/ed/picture/q56x08ze/88cc510d58bbd87aea66285683bb6e17fdfd36c4.jpg
D'occasion,Ford,2011,Automatique,Mermoz,2900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8907ae4d72c31d7e63a6b63bc60b7be0/-/horizon-files-prod/ed/picture/q9m9km88/e71d601b04cedfd556a945c979a84205b30de55c.jpg
D'occasion,Nissan,2014,Automatique,Liberte 6,4900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b56d6387940b0b5e5c9a20855905d7b1/-/horizon-files-prod/ed/picture/q56xmdqn/d7b2bbb4d74c4b35bcd9572552c75bcdd53ac824.jpg
D'occasion,Peugeot,2011,Automatique,Saly Portudal,2700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/007fad26e07f4201182301173ddea50e/-/horizon-files-prod/ed/picture/q78wjvxz/d55bc3eca6669e538c29d45ce9e14997960d2323.jpg
D'occasion,Toyota,2015,Manuelle,Bargny,3890000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8fbda4f6ab759bd86f0f2ff91153db98/-/horizon-files-prod/ed/picture/q6xdqk4z/e08bf41b031e56c4f03f70b68d12e5ae50b38e78.jpg
D'occasion,Toyota,2018,Manuelle,Liberte 6,22300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6bba853fca3b315bc84dbbeef75ab1cb/-/horizon-files-prod/ed/picture/q44nn0r8/9308ce44d578c34056cd4c9100d9929a6c1ee9ee.jpg
Venant,Citroen,2015,Manuelle,Parcelles Assainies,7000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5042690350c22f0adc569f715d699d05/-/horizon-files-prod/ed/picture/q8v4mpr0/d149a735f860c2ac7bb044591a7b5424a0d69ccc.jpg
Venant,Mazda,2016,Automatique,Rufisque,6200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aaf36cff3065054aebc0b9c07ecd8525/-/horizon-files-prod/ed/picture/qngp995z/da3ff94ec3ba928c9279ad51ecf64f7b2e12095a.jpg
